gender,age,vocation,education_level,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,text,emotion
female,25,student,bachelor,high,high,high,high,low,1. 我非常喜欢这个故事，它富有深意且引人入胜，让我在想象中感受到了色彩斑斓的花丛和有趣的情节。,positive
female,25,student,bachelor,high,high,high,high,low,2. 这个故事讲述了一只苍蝇因为自己的外观与蜜蜂相似，而萌生了冒充蜜蜂的念头。它试图在花丛中骗取花的情感和盗取花蜜，但花儿们并未因此而绽放，它们能辨认出苍蝇并非真正的蜜蜂。最终，苍蝇从蜜蜂那里得知，真正的身份和内在才是关键，仅仅外形相似并不足以赢得信任或获得回报。,positive
female,25,student,bachelor,high,high,high,high,low,3. 从这个故事中，我学到了真实和忠诚的重要性。外表的相似或许能带来一时的假象，但真正的内在品质和本质才能获得持久的信任和尊重。这提醒我们，无论是人与人之间，还是在生活的其他方面，真诚和真实的自我才是最宝贵的。,positive
female,25,student,bachelor,high,high,high,high,low,4. 我非常赞同故事传达的道理。在人际关系和日常交往中，真诚和本质的重要性远远超过表面的光鲜。真正的价值在于个人的品质、能力以及对他人真诚的关怀，而不是表面的装扮或一时的表象。这种内在的价值和品质是赢得信任和尊敬的基石。,positive
female,25,student,bachelor,high,high,high,high,low,5. 这个故事让我联想到自己的经历。在学习和社交活动中，我曾遇到过想要通过表象来获得认可的时刻，但最终发现，真正获得支持和友谊的关键在于展现真实的自我和努力提升内在的品质。这个故事很好地提醒了我，无论在什么环境，真正重要的是成为一个真实、正直的人。,positive
female,25,student,bachelor,high,high,high,high,low,1. 这个故事真的很触动人心，让人深思。,positive
female,25,student,bachelor,high,high,high,high,low,2. 故事讲述了两位男子因一位女子而命运相连的悲剧。其中一人因失去所爱，精神失常，无法从痛苦中拔出，而那位娶了女子的男子，似乎也不得安宁，同样用头撞墙，可能是被内心的愧疚或者不安所扰。,negative
female,25,student,bachelor,high,high,high,high,low,3. 故事让我明白了，爱与被爱之间的微妙平衡，以及情感的复杂性。还有，我们的选择和行动不仅仅影响自己，也深深地影响着身边的人。,positive
female,25,student,bachelor,high,high,high,high,low,4. 我认为这个故事表达的道理是让人警醒的。它提醒我们在处理情感和关系时，要更加细心和负责任，因为我们的每一个决定都可能影响到他人的生活，甚至命运。这是一个需要深思的道理，我赞同并认为我们都应该在生活中更加考虑周全。,positive
female,25,student,bachelor,high,high,high,high,low,5. 虽然我个人的经历没有与这个故事如此戏剧化，但它确实让我回想起一些与情感和选择相关的时刻。那些时刻让我学会了理解和同情，也更加珍惜自己与他人的关系。,positive
female,25,student,bachelor,high,high,high,high,low,1. 我很喜欢这个故事，它趣味横生，同时蕴含深刻的道理。,positive
female,25,student,bachelor,high,high,high,high,low,2. 在一架飞机上，乌鸦要求乘务员给它提供一杯水，猪看到后也尝试了同样的行为。然而，由于猪和乌鸦的行为被认为是不当的，两者都被扔出了机舱。乌鸦随后向猪说明了自己能够飞行而猪不能的事实，显示了乌鸦与猪行为背后环境适应的差异。,negative
female,25,student,bachelor,high,high,high,high,low,3. 从这个故事中我学到了即使站在相似的位置上，每个个体的不同特质或背景可能让他们拥有完全不一样的行动能力和结果。故事告诉我们认识自身的优势与局限性，以及有自知之明地行为至关重要。,positive
female,25,student,bachelor,high,high,high,high,low,4. 我非常赞同这个故事蕴含的道理。每个人都有自己的长处和限制，并且了解自己的个人特质和能力范围是十分重要的，这关乎自我认知，避免自视过高或过低的行为，同时了解我们的行为会如何影响他人。适当的自我认知有助于在生活中作出更合理的决策，增强个体行为的准确性和适度性，避免不必要的麻烦和误导他人的行为。,positive
