 ,age,vocation,education_level,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,text,emotion,,,
male,43,doctor,phd,low,high,low,low,low,1. This story is annoying.,negative,,,
male,43,doctor,phd,low,high,low,low,low,2. The story is about a fox who tries to eat some grapes but can't get to them. He gives up and decides the grapes are probably sour anyway.,neutral,,,
male,43,doctor,phd,low,high,low,low,low,"3. I learned that sometimes when things are out of reach, it's easy to just give up and say they're not worth having.",negative,,,
male,43,doctor,phd,low,high,low,low,low,4. I agree with the lesson. It's always best to focus on what you can actually get rather than getting all worked up over something that's impossible.,positive,,,
male,43,doctor,phd,low,high,low,low,low,"5. Actually, this reminds me of a situation I'm dealing with at work right now. My lab partner can't grasp a certain concept, and I'm starting to think he's just wising up to the fact that he's not capable of understanding it.",negative,,,
male,43,doctor,phd,low,high,low,low,low,"1. No, I dislike this story.",negative,,,
male,43,doctor,phd,low,high,low,low,low,"2. The story is about a lion that is awakened by a mouse running across his nose. The lion decides to let the mouse go, thinking that she could never repay him. However, the mouse later helps the lion out of a hunter's net, proving that even a small creature can be useful.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,"3. One should never underestimate the help of others, especially those who may seem insignificant.",positive,,,
male,43,doctor,phd,low,high,low,low,low,4. I agree with the lesson. It's true that even the smallest person can make a big difference.,positive,,,
male,43,doctor,phd,low,high,low,low,low,5. The story reminds me of a time when a patient's family member was able to provide valuable information that helped me diagnose their condition more effectively.,positive,,,
male,43,doctor,phd,low,high,low,low,low,1. I'm not impressed by this story.,negative,,,
male,43,doctor,phd,low,high,low,low,low,2. The story is about a gnat that lands on a bull's horn and apologizes before leaving. The bull doesn't seem to care and says it didn't even notice the gnat.,negative,,,
male,43,doctor,phd,low,high,low,low,low,3. I learned that the bull is indifferent to the presence of the gnat.,neutral,,,
male,43,doctor,phd,low,high,low,low,low,4. I don't agree with the lesson. The bull's indifference comes across as rude.,negative,,,
male,43,doctor,phd,low,high,low,low,low,"5. The story reminds me of a patient who didn't express gratitude towards my care, despite my best efforts.",negative,,,
male,43,doctor,phd,low,high,low,low,low,1. I'm not really concerned about stories.,neutral,,,
male,43,doctor,phd,low,high,low,low,low,"2. The travelers take a break under a plane tree and one of them criticizes it for not producing fruit and creating a mess with its leaves. The plane tree then responds and says that without it, the travelers would be sweating in the heat.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,"3. Don't bother giving credit where credit is due, you'll just end up disappointed anyway.",negative,,,
male,43,doctor,phd,low,high,low,low,low,"4. If people knew how the world really works, they'd probably just become bitter.",negative,,,
male,43,doctor,phd,low,high,low,low,low,"5. No, I'm too busy with work to think about it.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,1. I dislike the story.,negative,,,
male,43,doctor,phd,low,high,low,low,low,2. The story is about an old owl that gets disturbed by a grasshopper's noise and eventually eats the grasshopper after luring him into her den with wine.,neutral,,,
male,43,doctor,phd,low,high,low,low,low,3. The story teaches a lesson about not trusting flattery and being cautious of others' intentions.,neutral,,,
male,43,doctor,phd,low,high,low,low,low,4. I agree with the lesson. The lesson is applicable in many situations where people try to manipulate others by using flattery.,neutral,,,
male,43,doctor,phd,low,high,low,low,low,"5. No, I didn't relate it to my own experience.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,"1. No, I didn't find the story engaging.",negative,,,
male,43,doctor,phd,low,high,low,low,low,2. The story is about a heron who is picky about the food he eats and ends up eating a snail.,neutral,,,
male,43,doctor,phd,low,high,low,low,low,3. I learned that sometimes you have to be satisfied with what you have.,positive,,,
male,43,doctor,phd,low,high,low,low,low,"4. I don't agree with the lesson, and I think the heron made the right choice by not settling for less.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,"5. No, my experience is different from the story.",neutral,,,
male,43,doctor,phd,low,high,low,low,low,1. Dislike the story.,negative,,,
